Name,Manufacturer,Availability,Quantity,Price,Images_link
"Bio Oil - 60 Ml (specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone)",Bio Oil,TRUE,20,450,['https://cdn01.pharmeasy.in/dam/products_otc/I05890/bio-oil-60-ml-specialist-skin-care-oil-scars-stretch-mark-ageing-uneven-skin-tone-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Biofrost Cold Therapy Pain Gel - 100g,BioFrost,TRUE,20,249,['https://cdn01.pharmeasy.in/dam/products_otc/H78786/biofrost-cold-therapy-pain-gel-100g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Biofrost Cold Therapy Pain Gel - 50g,BioFrost,TRUE,20,149,['https://cdn01.pharmeasy.in/dam/products_otc/A05999/biofrost-cold-therapy-pain-gel-50g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Biofrost Cold Therapy Roll On - 75g,BioFrost,TRUE,20,199,['https://cdn01.pharmeasy.in/dam/products_otc/A59427/biofrost-cold-therapy-roll-on-75g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Morning Energy Berry Blast Face Wash - 150ml,Clean & Clear,TRUE,20,175,['https://cdn01.pharmeasy.in/dam/products_otc/E73992/clean-clear-morning-energy-berry-blast-face-wash-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Morning Energy Berry Blastface Wash - 100ml,Clean & Clear,TRUE,20,135,['https://cdn01.pharmeasy.in/dam/products_otc/Y84865/clean-clear-morning-energy-berry-blastface-wash-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Morning Energy Lemon Fresh Face Wash - 100ml,Clean & Clear,TRUE,20,135,['https://cdn01.pharmeasy.in/dam/products_otc/L13917/clean-clear-morning-energy-lemon-fresh-face-wash-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Morning Energy Lemon Fresh Face Wash - 150ml,Clean & Clear,TRUE,20,175,['https://cdn01.pharmeasy.in/dam/products_otc/C95562/clean-clear-morning-energy-lemon-fresh-face-wash-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Pimple Clearing Face Wash - 40g,Clean & Clear,TRUE,20,70,['https://cdn01.pharmeasy.in/dam/products_otc/N35611/clean-clear-pimple-clearing-face-wash-40g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Clean & Clear Pimple Clearing Face Wash - 80g,Clean & Clear,TRUE,20,130,['https://cdn01.pharmeasy.in/dam/products_otc/228689/clean-clear-pimple-clearing-face-wash-80g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
